word	sentence	translation
aigua	Aquesta aigua és molt freda.	This water is very cold.
aigua	Necessitem aigua per al viatge.	We need water for the trip.
aigua	Voldria un got d'aigua.	I would like a glass of water.
aliment	El pa és un aliment bàsic.	Bread is a basic food.
aliment	Cada aliment té la seva temporada.	Every food has its season.
aliment	L'arròs és un aliment molt comú.	Rice is a very common food.
aliment	Aquest aliment és molt sa.	This food is very healthy.
aliment	La llet és un aliment complet.	Milk is a complete food.
casa	La casa té tres habitacions.	The house has three rooms.
casa	La meva casa és a prop del parc.	My house is near the park.
casa	Vens a casa meva aquest vespre?	Are you coming to my place tonight?
casa	Treballo des de casa els divendres.	I work from home on Fridays.
casa	La casa dels meus pares és antiga.	My parents' house is old.
persona	Cada persona és diferent.	Every person is different.
persona	Una persona espera a la porta.	A person is waiting at the door.
persona	És la persona adequada per a la feina.	He/she is the right person for the job.
persona	No conec aquella persona.	I don't know that person.
persona	És una persona molt amable.	He/she is a very kind person.
dia	Avui és un bon dia.	Today is a good day.
dia	Quin dia és avui?	What day is it today?
dia	Treballo vuit hores al dia.	I work eight hours a day.
dia	Cada dia aprenc alguna cosa nova.	Every day I learn something new.
dia	El dia comença aviat al camp.	The day starts early in the countryside.
sí	Sí, vull un cafè.	Yes, I want a coffee.
sí	Véns? — Sí, és clar.	Are you coming? — Yes, of course.
sí	Crec que sí.	I think so.
sí	Sí, parlo una mica de català.	Yes, I speak a little Catalan.
sí	Ella ha dit que sí.	She said yes.
no	No tinc gana.	I am not hungry.
no	No, gràcies.	No, thank you.
no	No véns? — No.	Aren't you coming? — No.
no	Ha respost que no.	He answered no.
no	No hi ha cap problema.	There is no problem.
gràcies	Gràcies per la teva ajuda.	Thank you for your help.
gràcies	Gràcies, estic bé.	Thanks, I'm fine.
gràcies	Moltes gràcies per tot.	Many thanks for everything.
gràcies	Gràcies per venir tan aviat.	Thank you for coming so soon.
gràcies	Digues gràcies a l'àvia.	Say thank you to grandma.
aprendre	És divertit aprendre llengües.	It's fun to learn languages.
aprendre	Mai no és tard per aprendre.	It's never too late to learn.
aprendre	Vull aprendre a cuinar.	I want to learn to cook.
aprendre	Per aprendre cal practicar.	To learn you have to practise.
aprendre	Aprendrem molt en aquest curs, cal aprendre cada dia.	We'll learn a lot in this course; one must learn every day.
parlar	Necessito parlar amb tu.	I need to talk to you.
parlar	Puc parlar amb el director?	May I speak to the director?
parlar	És bo parlar dels problemes.	It's good to talk about problems.
parlar	En podem parlar després de sopar.	We can talk about it after dinner.
parlar	M'agrada parlar amb els veïns.	I like talking with the neighbours.
entendre	És fàcil d'entendre.	It's easy to understand.
entendre	Vull entendre la gramàtica.	I want to understand the grammar.
entendre	Per entendre cal escoltar.	To understand you have to listen.
entendre	Començo a entendre el problema.	I'm starting to understand the problem.
entendre	És difícil entendre-ho tot, però cal entendre el principal.	It's hard to understand everything, but you must understand the main thing.
saber	Vull saber la veritat.	I want to know the truth.
saber	És útil saber llengües.	It's useful to know languages.
saber	He de saber l'hora de la reunió.	I need to know the time of the meeting.
saber	Voldria saber més sobre Catalunya.	I would like to know more about Catalonia.
saber	Cal saber dir que no.	One must know how to say no.
escriure	M'agrada escriure al matí.	I like writing in the morning.
escriure	He d'escriure un correu.	I have to write an email.
escriure	Aprendre a escriure bé demana temps.	Learning to write well takes time.
escriure	Vaig a escriure la llista de la compra.	I'm going to write the shopping list.
escriure	És difícil escriure sense errors.	It's hard to write without mistakes.
llegir	M'encanta llegir novel·les.	I love reading novels.
llegir	Què t'agrada llegir?	What do you like to read?
llegir	Vaig a llegir una estona abans de dormir.	I'm going to read for a while before sleeping.
llegir	Cal llegir les instruccions.	One must read the instructions.
llegir	Vull llegir aquell llibre aquest estiu.	I want to read that book this summer.
llibre	El llibre és sobre la taula.	The book is on the table.
llibre	De què tracta el llibre?	What is the book about?
llibre	He comprat un llibre de cuina.	I bought a cookbook.
llibre	El meu llibre preferit és una novel·la catalana.	My favourite book is a Catalan novel.
llibre	Aquest llibre té tres-centes pàgines.	This book has three hundred pages.
llengua	Quina llengua parles a casa?	What language do you speak at home?
llengua	Aprendre una llengua obre portes.	Learning a language opens doors.
llengua	La llengua oficial del país és el francès.	The country's official language is French.
llengua	Cada llengua té la seva música.	Every language has its own music.
llengua	El català és una llengua romànica.	Catalan is a Romance language.
gran	La ciutat és molt gran.	The city is very big.
gran	Tinc una família gran.	I have a big family.
gran	És un dia gran per a tothom.	It's a big day for everyone.
gran	La maleta és massa gran.	The suitcase is too big.
gran	És un gran escriptor.	He is a great writer.
bo	El cafè d'aquí és molt bo.	The coffee here is very good.
bo	És un home bo.	He is a good man.
bo	Aquest restaurant és bo i barat.	This restaurant is good and cheap.
bo	El pa acabat de fer és molt bo.	Freshly made bread is very good.
bo	Fa un temps molt bo avui.	The weather is very good today.
voler	Els nens poden voler gelat després.	The children may want ice cream afterwards.
dia	Un dia visitaré Mallorca.	One day I will visit Majorca.
gràcies	Gràcies de tot cor.	Thank you from the bottom of my heart.
saber	M'alegra saber que estàs bé.	I'm glad to know you're well.
gran	L'estació és força gran.	The station is quite big.
