word	sentence	translation
начинать	Начинать всегда труднее всего.	Starting is always the hardest part.
начинать	Он любит начинать утро с зарядки.	He likes to start the morning with exercises.
брать	Не надо брать чужие вещи.	One mustn't take other people's things.
брать	Я не люблю брать деньги в долг.	I don't like borrowing money.
брать	Можно брать книги в библиотеке.	You can borrow books from the library.
брать	Он будет брать уроки музыки.	He is going to take music lessons.
брать	Зачем брать зонт? Дождя не будет.	Why take an umbrella? It's not going to rain.
брать	Она любит брать работу домой.	She likes taking work home.
пить	Я люблю пить чай с молоком.	I love drinking tea with milk.
пить	Врач сказал пить больше воды.	The doctor said to drink more water.
пить	Не надо пить холодную воду зимой.	One shouldn't drink cold water in winter.
пить	Утром мы будем пить кофе на балконе.	In the morning we will drink coffee on the balcony.
пить	Пить кофе вечером — плохая идея.	Drinking coffee in the evening is a bad idea.
пить	Он не хочет пить лекарство.	He doesn't want to take his medicine.
учить	Я буду учить русский язык каждый день.	I will study Russian every day.
учить	Трудно учить новые слова без практики.	It's hard to learn new words without practice.
учить	Она любит учить стихи.	She loves learning poems by heart.
учить	Не надо учить всё сразу.	You shouldn't learn everything at once.
учить	Он начал учить турецкий язык.	He has started learning Turkish.
учить	Учить язык лучше в стране, где на нём говорят.	It's better to learn a language in a country where it's spoken.
идти	Мне надо идти домой.	I have to go home.
идти	Куда ты хочешь идти вечером?	Where do you want to go in the evening?
идти	До школы идти десять минут.	It's a ten-minute walk to school.
идти	Не хочу идти на работу пешком под дождём.	I don't want to walk to work in the rain.
идти	Пора идти на урок.	It's time to go to the lesson.
идти	Лучше идти через парк.	It's better to walk through the park.
ехать	Завтра нам ехать в Москву.	Tomorrow we are to travel to Moscow.
ехать	Я не хочу ехать на автобусе.	I don't want to go by bus.
ехать	До центра ехать двадцать минут.	It's a twenty-minute ride to the centre.
ехать	Лучше ехать на поезде, чем на машине.	It's better to go by train than by car.
ехать	Долго ли ехать до дачи?	Is it a long ride to the dacha?
ехать	Ей надо ехать на вокзал.	She has to go to the station.
жить	Я хочу жить у моря.	I want to live by the sea.
жить	Жить в большом городе дорого.	Living in a big city is expensive.
жить	Они будут жить в новом доме.	They are going to live in a new house.
жить	Здесь приятно жить летом.	It is pleasant to live here in summer.
жить	Она мечтает жить в Москве.	She dreams of living in Moscow.
жить	Трудно жить без друзей.	It's hard to live without friends.
работать	Я люблю работать утром.	I like working in the morning.
работать	Он не хочет работать в субботу.	He doesn't want to work on Saturday.
работать	Работать дома удобно.	Working from home is convenient.
работать	Она будет работать врачом.	She is going to work as a doctor.
работать	Трудно работать без отдыха.	It's hard to work without rest.
работать	Мне нравится работать с людьми.	I like working with people.
знать	Хочу знать всё о России.	I want to know everything about Russia.
знать	Полезно знать иностранные языки.	It is useful to know foreign languages.
знать	Он должен знать правду.	He should know the truth.
знать	Мне важно знать твоё мнение.	It's important for me to know your opinion.
знать	Невозможно знать всё.	It is impossible to know everything.
знать	Ты можешь знать ответ — подумай!	You may know the answer — think!
любить	Любить свою работу — большое счастье.	Loving your job is a great happiness.
любить	Нельзя любить по расписанию.	You can't love on a schedule.
любить	Он умеет любить и прощать.	He knows how to love and forgive.
любить	Можно любить город, как человека.	One can love a city like a person.
любить	Дети должны любить читать, а не бояться книг.	Children should love reading, not fear books.
любить	Легко любить лето, трудно — зиму.	It's easy to love summer, hard to love winter.
хотеть	Хотеть не вредно.	There's no harm in wanting.
хотеть	Мало хотеть — надо делать.	Wanting is not enough — you have to act.
хотеть	Важно хотеть учиться.	It's important to want to learn.
хотеть	Нельзя хотеть всего сразу.	You can't want everything at once.
хотеть	Что значит хотеть перемен?	What does it mean to want change?
хотеть	Он может хотеть чего угодно.	He can want whatever he likes.
заниматься	Я люблю заниматься спортом утром.	I love doing sports in the morning.
заниматься	Ей надо больше заниматься русским.	She needs to work on her Russian more.
заниматься	Мы будем заниматься в библиотеке.	We will study in the library.
заниматься	Заниматься музыкой никогда не поздно.	It's never too late to take up music.
заниматься	Он не хочет заниматься домашними делами.	He doesn't want to do the housework.
заниматься	Полезно заниматься спортом каждый день.	It is good to exercise every day.
учиться	Она будет учиться в университете.	She is going to study at the university.
учиться	Учиться никогда не поздно.	It is never too late to learn.
учиться	Я хочу учиться в Москве.	I want to study in Moscow.
учиться	Трудно учиться и работать одновременно.	It's hard to study and work at the same time.
учиться	Он любит учиться новому.	He loves learning new things.
учиться	Учиться на своих ошибках полезно.	Learning from your own mistakes is useful.
нравиться	Мне начинает нравиться русский язык.	I am starting to like the Russian language.
нравиться	Эта песня начинает мне нравиться.	This song is growing on me.
нравиться	Тебе будет нравиться этот город.	You are going to like this city.
нравиться	Такая музыка не может нравиться всем.	Music like this can't please everyone.
нравиться	Ей стала нравиться зима.	She has come to like winter.
нравиться	Работа должна нравиться, иначе трудно.	You should like your work, otherwise it's hard.
книга	Это моя любимая книга.	This is my favourite book.
книга	Книга лежит на столе.	The book is lying on the table.
книга	Эта книга очень интересная.	This book is very interesting.
книга	Где твоя книга?	Where is your book?
книга	Новая книга уже в магазинах.	The new book is already in the shops.
книга	Хорошая книга — лучший подарок.	A good book is the best present.
дом	Это наш новый дом.	This is our new house.
дом	Дом стоит у реки.	The house stands by the river.
дом	Их дом очень большой.	Their house is very big.
дом	Мой дом — моя крепость.	My home is my castle.
дом	Этот дом построили сто лет назад.	This house was built a hundred years ago.
дом	Где твой дом?	Where is your home?
окно	Окно открыто — закрой, пожалуйста.	The window is open — close it, please.
окно	Это окно смотрит на парк.	This window looks out onto the park.
окно	Моё окно очень большое.	My window is very big.
окно	Окно в кухне маленькое.	The window in the kitchen is small.
окно	Зимой окно часто замерзает.	In winter the window often freezes over.
окно	Одно окно было открыто всю ночь.	One window was open all night.
стол	Стол стоит у окна.	The table stands by the window.
стол	Это мой рабочий стол.	This is my desk.
стол	Стол уже накрыт — садитесь!	The table is already set — sit down!
стол	Наш стол слишком маленький.	Our table is too small.
стол	Этот стол сделал мой дедушка.	My grandfather made this table.
стол	На кухне стоит старый стол.	There is an old table in the kitchen.
школа	Школа находится рядом с домом.	The school is near the house.
школа	Это моя старая школа.	This is my old school.
школа	Наша школа очень большая.	Our school is very big.
школа	Школа начинается в сентябре.	School starts in September.
школа	Новая школа откроется через год.	The new school will open in a year.
школа	Где ваша школа?	Where is your school?
письмо	Письмо пришло вчера.	The letter arrived yesterday.
письмо	Это письмо от бабушки.	This letter is from grandma.
письмо	Письмо лежит на столе.	The letter is lying on the table.
письмо	Твоё письмо было очень длинное.	Your letter was very long.
письмо	Письмо уже написано.	The letter is already written.
письмо	Одно письмо потерялось на почте.	One letter got lost in the post.
машина	Машина стоит у дома.	The car is parked by the house.
машина	Это новая машина брата.	This is my brother's new car.
машина	Наша машина очень старая.	Our car is very old.
машина	Красная машина — моя.	The red car is mine.
машина	Машина не работает — поедем на автобусе.	The car isn't working — we'll take the bus.
машина	Чья это машина?	Whose car is this?
время	Время идёт быстро.	Time goes by quickly.
время	Сейчас не время для игр.	Now is not the time for games.
время	У меня есть свободное время вечером.	I have free time in the evening.
время	Время — деньги.	Time is money.
время	Время урока — сорок пять минут.	The lesson time is forty-five minutes.
время	Пришло время сказать правду.	The time has come to tell the truth.
брат	Мой брат живёт в Москве.	My brother lives in Moscow.
брат	Это мой старший брат.	This is my elder brother.
брат	Брат работает врачом.	My brother works as a doctor.
брат	Твой брат говорит по-русски?	Does your brother speak Russian?
брат	Младший брат учится в школе.	My younger brother goes to school.
брат	Брат и сестра очень похожи.	The brother and sister look very much alike.
сестра	Моя сестра учится в университете.	My sister studies at the university.
сестра	Это моя младшая сестра.	This is my younger sister.
сестра	Сестра любит музыку.	My sister loves music.
сестра	Твоя сестра дома?	Is your sister at home?
сестра	Старшая сестра помогает маме.	The elder sister helps mum.
сестра	Сестра пишет мне каждую неделю.	My sister writes to me every week.
мама	Мама готовит ужин.	Mum is cooking dinner.
мама	Моя мама работает в школе.	My mum works at a school.
мама	Мама, где мои книги?	Mum, where are my books?
мама	Мама любит читать вечером.	Mum loves reading in the evening.
мама	Твоя мама дома?	Is your mum at home?
мама	Мама всегда права.	Mum is always right.
друг	Мой друг живёт рядом.	My friend lives nearby.
друг	Это мой лучший друг.	This is my best friend.
друг	Друг помогает мне с русским.	My friend helps me with Russian.
друг	Старый друг лучше новых двух.	An old friend is better than two new ones.
друг	Мой друг работает в банке.	My friend works at a bank.
друг	Твой друг говорит по-английски?	Does your friend speak English?
учитель	Наш учитель очень добрый.	Our teacher is very kind.
учитель	Учитель объясняет новый урок.	The teacher is explaining the new lesson.
учитель	Это мой учитель русского языка.	This is my Russian teacher.
учитель	Учитель задал много вопросов.	The teacher asked a lot of questions.
учитель	Новый учитель начинает работать завтра.	The new teacher starts work tomorrow.
учитель	Хороший учитель слушает своих учеников.	A good teacher listens to their students.
врач	Врач принимает с девяти часов.	The doctor sees patients from nine o'clock.
врач	Мой врач очень опытный.	My doctor is very experienced.
врач	Врач сказал больше отдыхать.	The doctor said to rest more.
врач	Это наш семейный врач.	This is our family doctor.
врач	Врач работает в новой больнице.	The doctor works at the new hospital.
врач	Детский врач принимает утром.	The children's doctor sees patients in the morning.
город	Наш город очень красивый.	Our city is very beautiful.
город	Это старый русский город.	This is an old Russian city.
город	Город растёт каждый год.	The city grows every year.
город	Вечером город особенно красив.	In the evening the city is especially beautiful.
город	Какой город тебе нравится больше?	Which city do you like more?
город	Этот город стоит на реке.	This city stands on a river.
работа	Работа начинается в девять.	Work starts at nine.
работа	Это интересная работа.	This is interesting work.
работа	Моя работа находится в центре.	My work is in the centre.
работа	Работа сделана хорошо.	The work is done well.
работа	Новая работа ей нравится.	She likes her new job.
работа	Домашняя работа на завтра готова.	The homework for tomorrow is done.
деньги	Деньги лежат на столе.	The money is lying on the table.
деньги	Деньги — это ещё не всё.	Money isn't everything.
деньги	Где мои деньги?	Where is my money?
деньги	Эти деньги на билеты.	This money is for the tickets.
деньги	Деньги быстро заканчиваются в отпуске.	Money runs out quickly on holiday.
деньги	Большие деньги — большие проблемы.	Big money, big problems.
вода	Вода в реке холодная.	The water in the river is cold.
вода	Это минеральная вода.	This is mineral water.
вода	Вода уже кипит.	The water is already boiling.
вода	Горячая вода будет вечером.	There will be hot water in the evening.
вода	Чистая вода — это здоровье.	Clean water is health.
вода	Морская вода очень солёная.	Sea water is very salty.
молоко	Молоко стоит в холодильнике.	The milk is in the fridge.
молоко	Это свежее молоко.	This is fresh milk.
молоко	Молоко уже закончилось.	The milk has already run out.
молоко	Тёплое молоко помогает уснуть.	Warm milk helps you fall asleep.
молоко	Козье молоко очень полезное.	Goat's milk is very good for you.
молоко	Молоко купим по дороге домой.	We'll buy milk on the way home.
газета	Газета лежит на столе.	The newspaper is lying on the table.
газета	Это вчерашняя газета.	This is yesterday's newspaper.
газета	Утренняя газета уже пришла.	The morning paper has already arrived.
газета	Эта газета выходит по субботам.	This newspaper comes out on Saturdays.
газета	Газета пишет о погоде.	The newspaper writes about the weather.
газета	Старая газета лежала на полу.	An old newspaper was lying on the floor.
фильм	Этот фильм очень интересный.	This film is very interesting.
фильм	Фильм начинается в семь.	The film starts at seven.
фильм	Это новый русский фильм.	This is a new Russian film.
фильм	Какой фильм мы будем смотреть?	Which film are we going to watch?
фильм	Фильм шёл два часа.	The film ran for two hours.
фильм	Этот фильм получил приз.	This film won a prize.
музыка	Музыка играет весь вечер.	Music has been playing all evening.
музыка	Это моя любимая музыка.	This is my favourite music.
музыка	Русская музыка очень красивая.	Russian music is very beautiful.
музыка	Громкая музыка мешает работать.	Loud music makes it hard to work.
музыка	Музыка помогает мне отдыхать.	Music helps me relax.
музыка	Какая музыка тебе нравится?	What music do you like?
язык	Русский язык очень красивый.	The Russian language is very beautiful.
язык	Это трудный язык?	Is this a difficult language?
язык	Иностранный язык открывает двери.	A foreign language opens doors.
язык	Какой язык ты учишь?	Which language are you learning?
язык	Язык учат каждый день, понемногу.	You learn a language every day, little by little.
язык	Английский язык знают многие.	Many people know English.
урок	Урок начинается в девять.	The lesson begins at nine.
урок	Это последний урок сегодня.	This is the last lesson today.
урок	Урок русского языка — мой любимый.	The Russian lesson is my favourite.
урок	Первый урок — самый трудный.	The first lesson is the hardest.
урок	Урок уже закончился.	The lesson has already finished.
урок	Завтра будет новый урок.	Tomorrow there will be a new lesson.
магазин	Магазин открывается в восемь.	The shop opens at eight.
магазин	Это наш любимый магазин.	This is our favourite shop.
магазин	Магазин находится рядом с метро.	The shop is near the metro.
магазин	Новый магазин очень большой.	The new shop is very big.
магазин	Книжный магазин работает до девяти.	The bookshop is open until nine.
магазин	Магазин сегодня закрыт.	The shop is closed today.
хорошо	Она хорошо говорит по-русски.	She speaks Russian well.
хорошо	Сегодня мне хорошо.	I feel good today.
хорошо	Он хорошо знает этот город.	He knows this city well.
хорошо	Хорошо, что ты пришёл.	It's good that you came.
хорошо	Мы хорошо отдохнули летом.	We had a good rest in the summer.
хорошо	Здесь хорошо работать.	It is good to work here.
плохо	Я плохо сплю летом.	I sleep badly in summer.
плохо	Он плохо слышит.	He hears poorly.
плохо	Сегодня она чувствует себя плохо.	She is feeling unwell today.
плохо	Плохо, что магазин закрыт.	It's bad that the shop is closed.
плохо	Без словаря я плохо понимаю текст.	Without a dictionary I understand the text poorly.
плохо	Он плохо знает дорогу.	He doesn't know the way well.
сегодня	Сегодня хорошая погода.	The weather is good today.
сегодня	Сегодня у нас урок русского.	Today we have a Russian lesson.
сегодня	Что ты делаешь сегодня вечером?	What are you doing tonight?
сегодня	Сегодня понедельник.	Today is Monday.
сегодня	Сегодня я работаю дома.	Today I am working from home.
сегодня	Магазин сегодня работает до шести.	The shop is open until six today.
завтра	Завтра будет дождь.	It will rain tomorrow.
завтра	Завтра мы едем в Москву.	Tomorrow we are going to Moscow.
завтра	Что ты делаешь завтра?	What are you doing tomorrow?
завтра	Завтра у меня экзамен.	I have an exam tomorrow.
завтра	Урок завтра начинается в десять.	Tomorrow the lesson starts at ten.
завтра	Завтра будет новый день.	Tomorrow is a new day.
вчера	Вчера был дождь.	It rained yesterday.
вчера	Вчера мы ходили в кино.	Yesterday we went to the cinema.
вчера	Я видел его вчера.	I saw him yesterday.
вчера	Вчера была суббота.	Yesterday was Saturday.
вчера	Она звонила мне вчера вечером.	She called me yesterday evening.
вчера	Вчера магазин был закрыт.	The shop was closed yesterday.
дома	Я сегодня работаю дома.	I am working from home today.
дома	Вечером мы будем дома.	In the evening we will be at home.
дома	Мама дома?	Is mum at home?
дома	Дома всегда хорошо.	It's always good at home.
дома	Он оставил ключи дома.	He left his keys at home.
дома	Дома нас ждёт ужин.	Dinner is waiting for us at home.
очень	Это очень интересная книга.	This is a very interesting book.
очень	Я очень люблю музыку.	I love music very much.
очень	Он очень хорошо готовит.	He cooks very well.
очень	Сегодня очень холодно.	It is very cold today.
очень	Она очень занята на работе.	She is very busy at work.
очень	Мы очень рады тебя видеть.	We are very glad to see you.
