word	sentence	translation
başka	Bu başka bir konu.	That is another topic.
iki	İki kahve lütfen.	Two coffees, please.
iki	Evde iki kedi var.	There are two cats at home.
iki	İki saat bekledim.	I waited for two hours.
iki	İki kardeşim var.	I have two siblings.
iki	Toplantı iki gün sürecek.	The meeting will last two days.
iki	Bilet iki yüz lira.	The ticket is two hundred lira.
doğru	Bu cevap doğru.	This answer is correct.
doğru	Doğru yoldayız.	We are on the right path.
doğru	Saat tam doğru mu?	Is the clock exactly right?
doğru	Doğru söylüyorsun.	You are telling the truth.
doğru	Eve doğru yürüyorum.	I am walking towards home.
doğru	Doğru karar verdin.	You made the right decision.
büyük	Bu çok büyük bir ev.	This is a very big house.
büyük	Büyük bir aileleri var.	They have a big family.
büyük	İstanbul büyük bir şehir.	Istanbul is a big city.
büyük	Büyük kardeşim yurt dışında.	My older sibling is abroad.
büyük	Bu benim için büyük bir fırsat.	This is a big opportunity for me.
yüz	Yüz lira borç aldım.	I borrowed a hundred lira.
yüz	Kitap yüz sayfa.	The book is a hundred pages.
yüz	Yüz yıl önce burada köy vardı.	A hundred years ago there was a village here.
yüz	Salonda yüz kişi var.	There are a hundred people in the hall.
yüz	Yüz metre koştum.	I ran a hundred metres.
yüz	Bu şehir yüz yaşında.	This city is a hundred years old.
demek	Bu ne demek?	What does this mean?
demek	Bunu demek istemedim.	I didn't mean to say that.
demek	Hayır demek zor.	Saying no is hard.
demek	Demek istediğim çok basit.	What I mean is very simple.
demek	Buna evet demek istiyorum.	I want to say yes to this.
demek	Teşekkür demek nezakettir.	Saying thank you is politeness.
yeni	Yeni bir araba aldım.	I bought a new car.
yeni	Bu yeni bir başlangıç.	This is a new beginning.
yeni	Yeni öğretmen çok iyi.	The new teacher is very good.
yeni	Yeni bir dil öğreniyorum.	I am learning a new language.
yeni	Yeni evimiz denize yakın.	Our new house is near the sea.
yeni	Yeni haberler var mı?	Is there any news?
gece	Gece çok soğuktu.	The night was very cold.
gece	İyi geceler, yarın görüşürüz.	Good night, see you tomorrow.
gece	Gece geç saatte geldi.	He came late at night.
gece	Bu gece film izleyeceğiz.	Tonight we will watch a film.
gece	Gece yarısı uyandım.	I woke up at midnight.
gece	Dün gece hiç uyumadım.	Last night I didn't sleep at all.
