word	sentence	translation
masă	Această masă e din lemn.	This table is made of wood.
masă	O masă lungă ocupă camera.	A long table fills the room.
mamă	Ea este o mamă grijulie.	She is a caring mother.
mamă	Orice mamă își iubește copiii.	Every mother loves her children.
mamă	O mamă își cunoaște copilul.	A mother knows her child.
mamă	Ce face o mamă pentru copiii ei!	What a mother does for her children!
mamă	Sora mea va deveni mamă.	My sister is going to become a mother.
mamă	E mamă a doi copii.	She is a mother of two children.
an	Un an are douăsprezece luni.	A year has twelve months.
an	Am locuit un an în Italia.	I lived in Italy for a year.
an	Ne vedem o dată pe an.	We see each other once a year.
an	Acest an a trecut repede.	This year went by quickly.
an	Peste un an termin facultatea.	In a year I finish university.
an	Un an nou începe mâine.	A new year begins tomorrow.
bun	Este un film foarte bun.	It is a very good film.
bun	Cafeaua are un gust bun.	The coffee tastes good.
bun	Un sfat bun ajută mult.	A good piece of advice helps a lot.
bun	Ai făcut un lucru bun.	You did a good thing.
bun	E un început bun.	It is a good start.
bun	Mirosul de pâine e atât de bun.	The smell of bread is so good.
mare	Au un câine mare.	They have a big dog.
mare	Orașul are un parc mare.	The city has a big park.
mare	E o diferență mare între ele.	There is a big difference between them.
mare	Fratele meu mai mare lucrează aici.	My older brother works here.
mare	Am o veste mare!	I have big news!
mare	Un copac mare umbrește curtea.	A big tree shades the yard.
mic	Locuim într-un apartament mic.	We live in a small apartment.
mic	Un cadou mic, dar de suflet.	A small gift, but from the heart.
mic	Fratele meu mai mic are cinci ani.	My little brother is five years old.
mic	Satul e mic și liniștit.	The village is small and quiet.
mic	Vreau doar un mic favor.	I just want a small favour.
mic	Un pas mic pentru început.	A small step to begin with.
frumos	Ce peisaj frumos!	What a beautiful landscape!
frumos	Ai un scris frumos.	You have beautiful handwriting.
frumos	E un gest frumos din partea ta.	That is a kind gesture on your part.
frumos	Parcul e deosebit de frumos toamna.	The park is especially beautiful in autumn.
frumos	Un cadou frumos pentru mama.	A beautiful present for mum.
frumos	Cerul e frumos în seara asta.	The sky is beautiful tonight.
nou	Am un telefon nou.	I have a new phone.
nou	Începem un capitol nou.	We are starting a new chapter.
nou	Restaurantul nou s-a deschis ieri.	The new restaurant opened yesterday.
nou	Un coleg nou vine luni.	A new colleague is coming on Monday.
nou	Orașul are un pod nou.	The city has a new bridge.
nou	Nimic nou sub soare.	Nothing new under the sun.
da	Da, sigur că vin!	Yes, of course I am coming!
da	Mi-a răspuns cu un da hotărât.	He answered me with a firm yes.
da	Da, ai dreptate.	Yes, you are right.
da	Spune da sau nu.	Say yes or no.
da	Da, mi-ar plăcea mult.	Yes, I would like that a lot.
da	Da, ne vedem mâine.	Yes, see you tomorrow.
nu	Nu am timp acum.	I do not have time now.
nu	Nu e vina ta.	It is not your fault.
nu	Nu știu răspunsul.	I do not know the answer.
nu	Nu vreau să întârzii.	I do not want to be late.
nu	Nu e nimeni acasă.	Nobody is home.
nu	Nu, e prea devreme.	No, it is too early.
mulțumesc	Mulțumesc pentru ajutor!	Thank you for the help!
mulțumesc	Mulțumesc frumos pentru invitație.	Thank you very much for the invitation.
mulțumesc	Mulțumesc pentru cafea.	Thanks for the coffee.
mulțumesc	Îți mulțumesc din suflet.	I thank you from the bottom of my heart.
mulțumesc	Mulțumesc pentru tot ce ai făcut.	Thank you for everything you did.
mulțumesc	Mulțumesc, a fost o seară minunată.	Thank you, it was a wonderful evening.
