word	sentence	translation	difficulty_rank	gloss	transliteration	source
maonyesho	Maonyesho ya sanaa yatafunguliwa Jumamosi.	The art exhibition will open on Saturday.	7	maonyesho (CL6-exhibition) ya (CL6-of) sanaa (CL9-art) ya-ta-funguliwa (CL6-FUT-be.opened) Jumamosi (CL9-Saturday)		ai
pango	Pango hili lilikuwa makazi ya watu wa kale.	This cave was the dwelling of ancient people.	8	pango (CL5-cave) hili (CL5-this) li-li-kuwa (CL5-PAST-be) makazi (CL6-dwelling) ya (CL6-of) wa-tu (CL2-person) wa (CL2-of) kale (CL9-antiquity)		ai
ukoo	Kila ukoo una mila zake za kipekee.	Each clan has its own distinctive customs.	8	kila (every) ukoo (CL11-clan) u-na (CL11-have) mila (CL10-custom) z-ake (CL10-its) za (CL10-of) kipekee (CL7-distinctive)		ai
mwamba	Nyumba ile imejengwa juu ya mwamba mkubwa.	That house is built on a large rock.	7	nyumba (CL9-house) ile (CL9-that) i-me-jengwa (CL9-PERF-be.built) juu ya (on.top.of) mwamba (CL3-rock) m-kubwa (CL3-big)		ai
kuhamia	Familia yao ilihamia mjini miaka kumi iliyopita.	Their family moved to the city ten years ago.	8	familia (CL9-family) y-ao (CL9-their) i-li-hamia (CL9-PAST-move.to) mji-ni (CL3-town-LOC) mi-aka (CL4-year) kumi (ten) i-li-yo-pita (CL4-PAST-REL-pass)		ai
haki	Kila mtu ana haki ya kupata elimu.	Everyone has the right to receive an education.	6	kila (every) mtu (CL1-person) a-na (CL1-have) haki (CL9-right) ya (CL9-of) ku-pata (INF-get) elimu (CL9-education)		ai
mkazi	Wakazi wa eneo hili wanahitaji maji safi.	The residents of this area need clean water.	7	wa-kazi (CL2-resident) wa (CL2-of) eneo (CL5-area) hili (CL5-this) wa-na-hitaji (CL2-PRES-need) maji (CL6-water) safi (clean)		ai
kuwezesha	Mradi huu unawezesha vijana kupata ujuzi.	This project enables young people to gain skills.	8	mradi (CL3-project) huu (CL3-this) u-na-wezesha (CL3-PRES-enable) vi-jana (CL8-youth) ku-pata (INF-get) ujuzi (CL11-skill)		ai
shauku	Alionyesha shauku kubwa ya kujifunza muziki.	She showed great eagerness to learn music.	8	a-li-onyesha (CL1-PAST-show) shauku (CL9-eagerness) kubwa (CL9-big) ya (CL9-of) ku-jifunza (INF-learn) muziki (CL3-music)		ai
taasisi	Taasisi hii inatoa mafunzo ya ualimu.	This institution offers teacher training.	8	taasisi (CL9-institution) hii (CL9-this) i-na-toa (CL9-PRES-give) mafunzo (CL6-training) ya (CL6-of) ualimu (CL11-teaching)		ai
gereza	Alikaa gerezani kwa miaka mitatu.	He spent three years in prison.	7	a-li-kaa (CL1-PAST-stay) gereza-ni (CL5-prison-LOC) kwa (for) mi-aka (CL4-year) mi-tatu (CL4-three)		ai
mgogoro	Mgogoro wa ardhi umedumu kwa miongo.	The land dispute has lasted for decades.	9	mgogoro (CL3-conflict) wa (CL3-of) ardhi (CL9-land) u-me-dumu (CL3-PERF-last) kwa (for) mi-ongo (CL4-decade)		ai
kuchambua	Watafiti walichambua data kwa makini.	The researchers analysed the data carefully.	8	wa-tafiti (CL2-researcher) wa-li-chambua (CL2-PAST-analyse) data (CL9-data) kwa (with) makini (care)		ai
riwaya	Riwaya yake ilishinda tuzo ya fasihi.	His novel won a literature prize.	8	riwaya (CL9-novel) y-ake (CL9-his) i-li-shinda (CL9-PAST-win) tuzo (CL9-prize) ya (CL9-of) fasihi (CL9-literature)		ai
umati	Umati mkubwa ulikusanyika uwanjani.	A large crowd gathered at the ground.	8	umati (CL11-crowd) m-kubwa (CL11-big) u-li-kusanyika (CL11-PAST-gather) uwanja-ni (CL11-ground-LOC)		ai
jukwaa	Msanii alipanda jukwaani akaanza kuimba.	The artist climbed onto the stage and began to sing.	9	msanii (CL1-artist) a-li-panda (CL1-PAST-climb) jukwaa-ni (CL5-stage-LOC) a-ka-anza (CL1-CONSEC-begin) ku-imba (INF-sing)		ai
kutetea	Alitetea haki za wafanyakazi kwa miaka mingi.	He defended workers' rights for many years.	8	a-li-tetea (CL1-PAST-defend) haki (CL10-right) za (CL10-of) wa-fanyakazi (CL2-worker) kwa (for) mi-aka (CL4-year) mi-ngi (CL4-many)		ai
kikwazo	Ukosefu wa fedha ulikuwa kikwazo kikubwa.	The lack of funds was a major obstacle.	9	ukosefu (CL11-lack) wa (CL11-of) fedha (CL9-money) u-li-kuwa (CL11-PAST-be) kikwazo (CL7-obstacle) ki-kubwa (CL7-big)		ai
ulemavu	Watu wenye ulemavu wanastahili fursa sawa.	People with disabilities deserve equal opportunities.	9	wa-tu (CL2-person) w-enye (CL2-having) ulemavu (CL11-disability) wa-na-stahili (CL2-PRES-deserve) fursa (CL10-opportunity) sawa (equal)		ai
mwanasiasa	Mwanasiasa yule alihutubia umati mkubwa.	That politician addressed a large crowd.	8	mwanasiasa (CL1-politician) yule (CL1-that) a-li-hutubia (CL1-PAST-address) umati (CL11-crowd) m-kubwa (CL11-big)		ai
azma	Azma yake ya kufaulu ilikuwa kubwa.	His determination to succeed was great.	8	azma (CL9-resolve) y-ake (CL9-his) ya (CL9-of) ku-faulu (INF-succeed) i-li-kuwa (CL9-PAST-be) kubwa (CL9-big)		ai
tuzo	Alipokea tuzo ya mwanamuziki bora.	She received the award for best musician.	7	a-li-pokea (CL1-PAST-receive) tuzo (CL9-award) ya (CL9-of) mwanamuziki (CL1-musician) bora (best)		ai
bendi	Bendi yao ilipiga muziki hadi usiku wa manane.	Their band played music until midnight.	7	bendi (CL9-band) y-ao (CL9-their) i-li-piga (CL9-PAST-hit) muziki (CL3-music) hadi (until) usiku (CL11-night) wa (CL11-of) manane (midnight)		ai
falsafa	Falsafa yake ya maisha ni rahisi na wazi.	His philosophy of life is simple and clear.	8	falsafa (CL9-philosophy) y-ake (CL9-his) ya (CL9-of) maisha (CL6-life) ni (is) rahisi (simple) na (and) wazi (clear)		ai
undugu	Undugu kati ya jamii hizi ni wa muda mrefu.	The kinship between these communities is long-standing.	9	undugu (CL11-kinship) kati ya (between) jamii (CL10-community) hizi (CL10-these) ni (is) wa (CL11-of) muda (CL3-period) m-refu (CL3-long)		ai
kusifika	Mji huu unasifika kwa vyakula vyake.	This town is renowned for its food.	8	mji (CL3-town) huu (CL3-this) u-na-sifika (CL3-PRES-be.renowned) kwa (for) vy-akula (CL8-food) vy-ake (CL8-its)		ai
kutoaminika	Habari zile zilionekana kutoaminika.	That news seemed unbelievable.	9	habari (CL10-news) zile (CL10-those) zi-li-onekana (CL10-PAST-seem) ku-to-aminika (INF-NEG-be.believable)		ai
vivutio	Vivutio vya utalii vimeongezeka mkoani humu.	Tourist attractions have increased in this region.	9	vi-vutio (CL8-attraction) vya (CL8-of) utalii (CL11-tourism) vi-me-ongezeka (CL8-PERF-increase) mkoa-ni (CL3-region-LOC) humu (CL18-in.here)		ai
habari	Habari ya kazi yako mpya?	How is your new job?	2	habari (CL9-news) ya (CL9-of) kazi (CL9-work) y-ako (CL9-your) mpya (new)		ai
asubuhi	Kila asubuhi mimi hunywa chai kabla ya kazi.	Every morning I drink tea before work.	3	kila (every) asubuhi (CL9-morning) mimi (I) hu-nywa (HABITUAL-drink) chai (CL9-tea) kabla ya (before) kazi (CL9-work)		ai
