word,definition,definition_ru,definition_ar,definition_es,definition_pt,reading,pos,level,level_source,frequency_rank,alternatives,root,form,gender,aspect,aspect_partner,acc,gen,prep,dat,inst
mtazamo,"viewpoint, perspective, outlook",,,,,,noun,B2,ai,,,-tazama (look),,,,,,,,,
kujumuisha,"to include, to encompass, to sum up",,,,,,verb,C1,ai,,,-jumuisha,,,,,,,,,
mavazi,"clothing, attire",,,,,,noun,B2,ai,,,-vaa (wear),,,,,,,,,
kuvaa,"to wear, to put on",,,,,,verb,A1,ai,,,-vaa,,,,,,,,,
kizazi,generation,,,,,,noun,B2,ai,,,-zaa (give birth),,,,,,,,,
hisa,"share, stock",,,,,,noun,C1,ai,,,,,,,,,,,,
makao,"residence, dwelling place",,,,,,noun,B2,ai,,,-kaa (stay),,,,,,,,,
bandari,"port, harbour",,,,,,noun,B2,ai,,,,,,,,,,,,
bara,"continent, mainland, the interior",,,,,,noun,B2,ai,,,,,,,,,,,,
kuboresha,"to improve, to enhance",,,,,,verb,B2,ai,,,-boresha,,,,,,,,,
saruji,cement,,,,,,noun,B2,ai,,,,,,,,,,,,
daraja,"bridge; rank, grade",,,,,,noun,A2,ai,,,,,,,,,,,,
mkakati,"strategy, plan of action",,,,,,noun,C1,ai,,,,,,,,,,,,
mapambo,"decorations, ornaments, jewellery",,,,,,noun,B2,ai,,,-pamba (decorate),,,,,,,,,
kiboko,hippopotamus,,,,,,noun,B1,ai,,,,,,,,,,,,
swala,"antelope, gazelle, impala",,,,,,noun,B2,ai,,,,,,,,,,,,
simba,lion,,,,,,noun,A2,ai,,,,,,,,,,,,
tembo,elephant,,,,,,noun,A2,ai,,,,,,,,,,,,
rufaa,"appeal, referral",,,,,,noun,C1,ai,,,,,,,,,,,,
kimo,"height, stature, altitude",,,,,,noun,B2,ai,,,,,,,,,,,,
haramu,"forbidden, unlawful",,,,,,adj,B2,ai,,,,,,,,,,,,
kitongoji,"neighbourhood, sub-village",,,,,,noun,C1,ai,,,,,,,,,,,,
teknolojia,technology,,,,,,noun,B1,ai,,,,,,,,,,,,
mazingira,"environment, surroundings",,,,,,noun,B1,ai,,,-zingira (surround),,,,,,,,,
kuzingira,"to surround, to encircle",,,,,,verb,C1,ai,,,-zingira,,,,,,,,,
karne,century,,,,,,noun,B2,ai,,,,,,,,,,,,
theluthi,a third,,,,,,noun,C1,ai,,,,,,,,,,,,
marehemu,"the deceased, the late",,,,,,noun,C1,ai,,,,,,,,,,,,
mwanzilishi,founder,,,,,,noun,C1,ai,,,-anzisha (initiate),,,,,,,,,
pembe,"corner, angle; horn, tusk",,,,,,noun,B2,ai,,,,,,,,,,,,
jangwa,desert,,,,,,noun,B2,ai,,,,,,,,,,,,
rutuba,"fertility, moisture in soil",,,,,,noun,C1,ai,,,,,,,,,,,,
fuvu,skull,,,,,,noun,C1,ai,,,,,,,,,,,,
kisukuku,fossil,,,,,,noun,C1,ai,,,,,,,,,,,,
mgodi,"mine, quarry",,,,,,noun,B2,ai,,,,,,,,,,,,
makumbusho,museum,,,,,,noun,B1,ai,,,-kumbuka (remember),,,,,,,,,
maendeleo,"development, progress",,,,,,noun,B1,ai,,,-endelea (continue),,,,,,,,,
kusimulia,"to narrate, to recount",,,,,,verb,B2,ai,,,-simulia,,,,,,,,,
kulinda,"to guard, to protect",,,,,,verb,B1,ai,,,-linda,,,,,,,,,
janga,"catastrophe, calamity, epidemic",,,,,,noun,C1,ai,,,,,,,,,,,,
tani,tonne,,,,,,noun,B2,ai,,,,,,,,,,,,
kulipuka,"to explode, to erupt",,,,,,verb,C1,ai,,,-lipuka,,,,,,,,,
kukwea,"to climb, to ascend",,,,,,verb,B2,ai,,kupanda,-kwea,,,,,,,,,
licha,"despite, in spite of",,,,,,preposition,C1,ai,,,,,,,,,,,,
mwambao,"coastline, coastal strip",,,,,,noun,C1,ai,,,,,,,,,,,,
madhumuni,"purpose, aim, objective",,,,,,noun,C1,ai,,,,,,,,,,,,
kushambulia,to attack,,,,,,verb,C1,ai,,,-shambulia,,,,,,,,,
maonyesho,"exhibition, show, display",,,,,,noun,B2,ai,,,-onyesha (show),,,,,,,,,
kuonyesha,"to show, to display",,,,,,verb,A2,ai,,,-onyesha,,,,,,,,,
kudhamini,"to sponsor, to guarantee",,,,,,verb,C1,ai,,,-dhamini,,,,,,,,,
vivutio,attractions,,,,,,noun,B2,ai,,,-vutia (attract),,,,,,,,,
pango,cave,,,,,,noun,B2,ai,,,,,,,,,,,,
ukoo,"clan, lineage",,,,,,noun,B2,ai,,,,,,,,,,,,
kafara,"sacrifice, offering",,,,,,noun,C1,ai,,,,,,,,,,,,
mwamba,"rock, reef",,,,,,noun,B2,ai,,,,,,,,,,,,
kiraka,patch,,,,,,noun,C1,ai,,,,,,,,,,,,
kuhamia,"to move to, to migrate to",,,,,,verb,B2,ai,,,-hamia,,,,,,,,,
kubembeleza,"to coax, to soothe, to entice",,,,,,verb,C1,ai,,,-bembeleza,,,,,,,,,
haki,"right, justice",,,,,,noun,B1,ai,,,,,,,,,,,,
kulazwa,"to be admitted to hospital, to be laid down",,,,,,verb,B2,ai,,,-lazwa,,,,,,,,,
kuajiriwa,"to be employed, to be hired",,,,,,verb,B2,ai,,,-ajiriwa,,,,,,,,,
kuajiri,"to employ, to hire",,,,,,verb,B2,ai,,,-ajiri,,,,,,,,,
mkazi,"resident, inhabitant",,,,,,noun,B2,ai,,,-kaa (stay),,,,,,,,,
kuwezesha,"to enable, to empower",,,,,,verb,C1,ai,,,-wezesha,,,,,,,,,
kupambazuka,"to dawn, to become light",,,,,,verb,C1,ai,,,-pambazuka,,,,,,,,,
shauku,"eagerness, passion, longing",,,,,,noun,C1,ai,,,,,,,,,,,,
taasisi,institution,,,,,,noun,C1,ai,,,,,,,,,,,,
vurugu,"disorder, unrest, violence",,,,,,noun,C1,ai,,,,,,,,,,,,
gereza,"prison, jail",,,,,,noun,B2,ai,,,,,,,,,,,,
wakala,"agent, agency",,,,,,noun,C1,ai,,,,,,,,,,,,
mgogoro,"conflict, dispute, crisis",,,,,,noun,C1,ai,,,,,,,,,,,,
kuchambua,"to analyse, to sort, to sift",,,,,,verb,C1,ai,,,-chambua,,,,,,,,,
utata,"complexity, controversy, ambiguity",,,,,,noun,C1,ai,,,,,,,,,,,,
hatima,"end, outcome, destiny",,,,,,noun,C1,ai,,,,,,,,,,,,
kuhitimu,"to graduate, to complete a course",,,,,,verb,B2,ai,,,-hitimu,,,,,,,,,
riwaya,novel,,,,,,noun,B2,ai,,,,,,,,,,,,
adhabu,"punishment, penalty",,,,,,noun,B2,ai,,,-adhibu (punish),,,,,,,,,
umati,"crowd, multitude",,,,,,noun,C1,ai,,,,,,,,,,,,
kudhibiti,"to control, to regulate",,,,,,verb,C1,ai,,,-dhibiti,,,,,,,,,
jukwaa,"stage, platform, forum",,,,,,noun,C1,ai,,,,,,,,,,,,
mchungaji,"pastor; shepherd, herdsman",,,,,,noun,B2,ai,,,-chunga (herd),,,,,,,,,
kutetea,"to defend, to advocate for",,,,,,verb,C1,ai,,,-tetea,,,,,,,,,
kikwazo,"obstacle, hindrance",,,,,,noun,C1,ai,,,,,,,,,,,,
mkazo,"emphasis, stress, determination",,,,,,noun,C1,ai,,,-kaza (tighten),,,,,,,,,
sekta,sector,,,,,,noun,C1,ai,,,,,,,,,,,,
ulemavu,disability,,,,,,noun,C1,ai,,,,,,,,,,,,
kuongoza,"to lead, to guide",,,,,,verb,B1,ai,,,-ongoza,,,,,,,,,
mwanasiasa,politician,,,,,,noun,B2,ai,,,,,,,,,,,,
siasa,politics,,,,,,noun,B1,ai,,,,,,,,,,,,
azma,"resolve, ambition, determination",,,,,,noun,C1,ai,,,,,,,,,,,,
kulaumu,"to blame, to reproach",,,,,,verb,C1,ai,,,-laumu,,,,,,,,,
tuzo,"award, prize",,,,,,noun,B2,ai,,,,,,,,,,,,
bendi,band (musical),,,,,,noun,B1,ai,,,,,,,,,,,,
falsafa,philosophy,,,,,,noun,C1,ai,,,,,,,,,,,,
kusita,"to hesitate, to pause",,,,,,verb,C1,ai,,,-sita,,,,,,,,,
undugu,"kinship, brotherhood",,,,,,noun,C1,ai,,,ndugu (sibling),,,,,,,,,
rika,"age group, peer group",,,,,,noun,C1,ai,,,,,,,,,,,,
kusifika,"to be famous, to be praised",,,,,,verb,C1,ai,,,-sifika,,,,,,,,,
kusifu,"to praise, to commend",,,,,,verb,B2,ai,,,-sifu,,,,,,,,,
mtafaruku,"commotion, upheaval, dispute",,,,,,noun,C1,ai,,,,,,,,,,,,
kutoaminika,"to be untrustworthy, to be unbelievable",,,,,,verb,C1,ai,,,-aminika,,,,,,,,,
vilindi,depths,,,,,,noun,C1,ai,,,,,,,,,,,,
habari,"news; used as a greeting, 'how is/how are'",,,,,,noun,A1,ai,,,,,,,,,,,,
asubuhi,morning,,,,,,noun,A1,ai,,,,,,,,,,,,
adhuhuri,"midday, the lunch hour",,,,,,noun,A1,ai,,,,,,,,,,,,
jioni,evening,,,,,,noun,A1,ai,,,,,,,,,,,,
mchana,"daytime, afternoon",,,,,,noun,A1,ai,,,,,,,,,,,,
mzima,"well, healthy, in one piece",,,,,,adj,A1,ai,,,,,,,,,,,,
kabisa,"completely, absolutely, totally",,,,,,adv,A1,ai,,,,,,,,,,,,
asante,thank you,,,,,,interjection,A1,ai,,,,,,,,,,,,
sana,"very, very much, a lot",,,,,,adv,A1,ai,,,,,,,,,,,,
mzuri,"good, fine, nice",,,,,,adj,A1,ai,,,,,,,,,,,,
pia,"also, too, as well",,,,,,adv,A1,ai,,,,,,,,,,,,
furaha,"happiness, joy",,,,,,noun,A1,ai,,,,,,,,,,,,
jina,name,,,,,,noun,A1,ai,,,,,,,,,,,,
majina,names,,,,,,noun,A1,ai,,,,,,,,,,,,
naitwa,"I am called, my name is",,,,,,verb,A1,ai,,,-itwa,,,,,,,,,
anaitwa,"he is called, she is called",,,,,,verb,A1,ai,,,-itwa,,,,,,,,,
kwa,"for, with, by, at",,,,,,preposition,A1,ai,,,,,,,,,,,,
mimi,"I, me",,,,,,pronoun,A1,ai,,,,,,,,,,,,
wewe,you,,,,,,pronoun,A1,ai,,,,,,,,,,,,
nami,"and I, I too, with me",,,,,,pronoun,A1,ai,,,,,,,,,,,,
huyu,this one (person),,,,,,pronoun,A1,ai,,,,,,,,,,,,
hii,this one (class 9),,,,,,pronoun,A1,ai,,,,,,,,,,,,
yangu,"my, mine (class 9)",,,,,,pronoun,A1,ai,,,,,,,,,,,,
wako,"your, yours (class 1/2)",,,,,,pronoun,A1,ai,,,,,,,,,,,,
rafiki,friend,,,,,,noun,A1,ai,,,,,,,,,,,,
mwema,"good, kind, pleasant",,,,,,adj,A1,ai,,,,,,,,,,,,
vyema,"well, properly",,,,,,adv,A2,ai,,,,,,,,,,,,
salama,"safe, peaceful, well",,,,,,adj,A1,ai,,,,,,,,,,,,
tafadhali,please,,,,,,interjection,A1,ai,,,,,,,,,,,,
samahani,"sorry, excuse me",,,,,,interjection,A1,ai,,,,,,,,,,,,
pole,sorry (sympathy for somebody's misfortune),,,,,,interjection,A1,ai,,,,,,,,,,,,
karibu,welcome; you're welcome; come in,,,,,,interjection,A1,ai,,,,,,,,,,,,
ndio,yes,,,,,,interjection,A1,ai,,ndiyo,,,,,,,,,,
la,no,,,,,,interjection,A1,ai,,,,,,,,,,,,
sawa,"okay, all right, fine; equal",,,,,,interjection,A1,ai,,,,,,,,,,,,
hongera,congratulations,,,,,,interjection,A1,ai,,,,,,,,,,,,
naomba,"I request, may I have, excuse me",,,,,,verb,A1,ai,,,-omba,,,,,,,,,
nashukuru,"I am grateful, I give thanks",,,,,,verb,A1,ai,,,-shukuru,,,,,,,,,
nimefurahia,"I am pleased, I have enjoyed",,,,,,verb,A1,ai,,,-furahia,,,,,,,,,
niko,I am (in a place or state),,,,,,verb,A1,ai,,,-ko,,,,,,,,,
uko,you are (in a place or state),,,,,,verb,A1,ai,,,-ko,,,,,,,,,
sina,I do not have,,,,,,verb,A1,ai,,,-na,,,,,,,,,
kukujua,to know you,,,,,,verb,A1,ai,,,-jua,,,,,,,,,
chakula,food,,,,,,noun,A1,ai,,,,,,,,,,,,
kinywaji,"a drink, beverage",,,,,,noun,A1,ai,,,,,,,,,,,,
chai,tea,,,,,,noun,A1,ai,,,,,,,,,,,,
wali,cooked rice,,,,,,noun,A1,ai,,,,,,,,,,,,
viungo,"spices, ingredients",,,,,,noun,A2,ai,,,,,,,,,,,,
bidhaa,"goods, merchandise",,,,,,noun,A2,ai,,,,,,,,,,,,
kitamu,"delicious, tasty (class 7)",,,,,,adj,A1,ai,,,,,,,,,,,,
kuita,to call,,,,,,verb,A1,ai,,,-ita,,,,,,,,,
kupika,to cook,,,,,,verb,A1,ai,,,-pika,,,,,,,,,
kukula,to eat,,,,,,verb,A1,ai,,,-la,,,,,,,,,
kunywa,to drink,,,,,,verb,A1,ai,,,-nywa,,,,,,,,,
kutembea,"to walk, to stroll, to travel about",,,,,,verb,A1,ai,,,-tembea,,,,,,,,,
kuona,"to see, to watch",,,,,,verb,A1,ai,,,-ona,,,,,,,,,
nunua,buy,,,,,,verb,A1,ai,,,-nunua,imperative singular,,,,,,,,
sema,"say, speak, tell",,,,,,verb,A1,ai,,,-sema,imperative singular,,,,,,,,
fanya,"do, make",,,,,,verb,A1,ai,,,-fanya,imperative singular,,,,,,,,
shika,"hold, take, here you are",,,,,,verb,A1,ai,,,-shika,imperative singular,,,,,,,,
punguza,"reduce, lessen",,,,,,verb,A2,ai,,,-punguza,,,,,,,,,
malizia,"finish off, complete",,,,,,verb,A2,ai,,,-malizia,,,,,,,,,
rudisha,"give back, return something",,,,,,verb,A2,ai,,,-rudisha,,,,,,,,,
pakua,"dish out, serve food; unload",,,,,,verb,A2,ai,,,-pakua,,,,,,,,,
hospitali,hospital,,,,,,noun,A1,ai,,,,,,,,,,,,
zawadi,"gift, present",,,,,,noun,A1,ai,,,,,,,,,,,,
pacha,twin,,,,,,noun,A2,ai,,,,,,,,,,,,
mapacha,twins,,,,,,noun,A2,ai,,,,,,,,,,,,
mtoto,"child, baby",,,,,,noun,A1,ai,,,,,,,,,,,,
mama,mother; madam (respectful address),,,,,,noun,A1,ai,,,,,,,,,,,,
bwana,"sir, mister, gentleman",,,,,,noun,A1,ai,,,,,,,,,,,,
dada,sister,,,,,,noun,A1,ai,,,,,,,,,,,,
ulaya,"Europe, overseas, abroad",,,,,,noun,A2,ai,,,,,,,,,,,,
ujerumani,Germany,,,,,,noun,A2,ai,,,,,,,,,,,,
wakati,"time, period",,,,,,noun,A1,ai,,,,,,,,,,,,
saa,"hour, o'clock; watch, clock",,,,,,noun,A1,ai,,,,,,,,,,,,
siku,day,,,,,,noun,A1,ai,,,,,,,,,,,,
mwezi,month; moon,,,,,,noun,A1,ai,,,,,,,,,,,,
miezi,months,,,,,,noun,A1,ai,,,,,,,,,,,,
mwaka,year,,,,,,noun,A1,ai,,,,,,,,,,,,
miaka,years,,,,,,noun,A1,ai,,,,,,,,,,,,
jumamosi,Saturday,,,,,,noun,A1,ai,,,,,,,,,,,,
baadaye,"afterwards, later",,,,,,adv,A2,ai,,,,,,,,,,,,
haraka,"quickly, in a hurry",,,,,,adv,A2,ai,,,,,,,,,,,,
tayari,ready; already,,,,,,adj,A1,ai,,,,,,,,,,,,
kidogo,"a little, slightly",,,,,,adv,A1,ai,,,,,,,,,,,,
vingi,many (class 8),,,,,,adj,A1,ai,,,,,,,,,,,,
kali,"fierce, sharp, severe; hot (of weather or spice)",,,,,,adj,A2,ai,,,,,,,,,,,,
mbaya,"bad, wrong",,,,,,adj,A1,ai,,,,,,,,,,,,
mkubwa,"big, large, important",,,,,,adj,A1,ai,,,,,,,,,,,,
mwili,body,,,,,,noun,A2,ai,,,,,,,,,,,,
nyumba,house,,,,,,noun,A1,ai,,,,,,,,,,,,
jiko,kitchen; cooking stove,,,,,,noun,A2,ai,,,,,,,,,,,,
msala,"toilet, lavatory",,,,,,noun,A2,ai,,,,,,,,,,,,
ndani,"inside, within",,,,,,adv,A1,ai,,,,,,,,,,,,
pale,"there, over there (a definite place)",,,,,,adv,A1,ai,,,,,,,,,,,,
biashara,"business, trade",,,,,,noun,A2,ai,,,,,,,,,,,,
ofisi,office,,,,,,noun,A1,ai,,afisi,,,,,,,,,,
darasa,"class, classroom",,,,,,noun,A1,ai,,,,,,,,,,,,
kitabu,book,,,,,,noun,A1,ai,,,,,,,,,,,,
vitabu,books,,,,,,noun,A1,ai,,,,,,,,,,,,
kalamu,"pen, pencil",,,,,,noun,A1,ai,,,,,,,,,,,,
safari,"journey, trip; a wildlife tour",,,,,,noun,A1,ai,,,,,,,,,,,,
ndege,aeroplane; bird,,,,,,noun,A1,ai,,,,,,,,,,,,
sinema,"cinema, film",,,,,,noun,A1,ai,,,,,,,,,,,,
uwanja,"field, ground, open space",,,,,,noun,A2,ai,,,,,,,,,,,,
manukato,"perfume, scent",,,,,,noun,A2,ai,,,,,,,,,,,,
paka,cat,,,,,,noun,A1,ai,,,,,,,,,,,,
mnyama,animal,,,,,,noun,A1,ai,,,,,,,,,,,,
jua,"sun, sunshine",,,,,,noun,A1,ai,,,,,,,,,,,,
joto,"heat, warmth",,,,,,noun,A1,ai,,,,,,,,,,,,
mvua,rain,,,,,,noun,A1,ai,,,,,,,,,,,,
ulimwengu,"world, universe",,,,,,noun,A2,ai,,,,,,,,,,,,
upande,"side, direction, part",,,,,,noun,A2,ai,,,,,,,,,,,,
uwezekano,"possibility, likelihood",,,,,,noun,B1,ai,,,-wezekana (be possible),,,,,,,,,
umbali,distance,,,,,,noun,A2,ai,,,,,,,,,,,,
pesa,money,,,,,,noun,A1,ai,,,,,,,,,,,,
nauli,"fare, transport charge",,,,,,noun,A2,ai,,,,,,,,,,,,
malipo,"payment, charges",,,,,,noun,A2,ai,,,-lipa (pay),,,,,,,,,
shilingi,shilling,,,,,,noun,A1,ai,,,,,,,,,,,,
kilomita,kilometre,,,,,,noun,A1,ai,,,,,,,,,,,,
mvinyo,wine,,,,,,noun,A2,ai,,,,,,,,,,,,
pombe,"beer, alcoholic drink",,,,,,noun,A2,ai,,,,,,,,,,,,
ndoa,marriage,,,,,,noun,A2,ai,,,,,,,,,,,,
ukweli,truth,,,,,,noun,A2,ai,,,,,,,,,,,,
moja,one,,,,,,adj,A1,ai,,,,,,,,,,,,
tatu,three,,,,,,adj,A1,ai,,,,,,,,,,,,
tano,five,,,,,,adj,A1,ai,,,,,,,,,,,,
tisa,nine,,,,,,adj,A1,ai,,,,,,,,,,,,
mia,hundred,,,,,,noun,A1,ai,,,,,,,,,,,,
ngapi,"how many, how much",,,,,,adj,A1,ai,,,,,,,,,,,,
nini,what,,,,,,pronoun,A1,ai,,,,,,,,,,,,
kipi,which one (class 7),,,,,,pronoun,A2,ai,,,,,,,,,,,,
je,question marker introducing a yes-or-no question,,,,,,particle,A1,ai,,,,,,,,,,,,
kuhusu,"about, concerning",,,,,,preposition,A2,ai,,,,,,,,,,,,
napenda,"I like, I love",,,,,,verb,A1,ai,,,-penda,,,,,,,,,
sipendi,I do not like,,,,,,verb,A1,ai,,,-penda,,,,,,,,,
ningependa,I would like,,,,,,verb,A2,ai,,,-penda,,,,,,,,,
ungependa,would you like,,,,,,verb,A2,ai,,,-penda,,,,,,,,,
tumefika,we have arrived,,,,,,verb,A1,ai,,,-fika,,,,,,,,,
nasafiri,I am travelling,,,,,,verb,A2,ai,,,-safiri,,,,,,,,,
